Date,Close,High,Low,Open,Volume
19/04/2021,4163.259766,4180.810059,4150.470215,4179.799805,3810290000
20/04/2021,4134.939941,4159.180176,4118.379883,4159.180176,4342650000
21/04/2021,4173.419922,4175.02002,4126.350098,4128.419922,3887250000
22/04/2021,4134.97998,4179.569824,4123.689941,4170.459961,4245140000
23/04/2021,4180.169922,4194.169922,4138.779785,4138.779785,3569880000
26/04/2021,4187.620117,4194.189941,4182.359863,4185.029785,3748320000
27/04/2021,4186.720215,4193.350098,4176.220215,4188.25,3710700000
28/04/2021,4183.180176,4201.529785,4181.779785,4185.140137,3787360000
29/04/2021,4211.470215,4218.779785,4176.810059,4206.140137,4298680000
30/04/2021,4181.169922,4198.100098,4174.850098,4198.100098,4300880000
03/05/2021,4192.660156,4209.390137,4188.029785,4191.97998,4070220000
04/05/2021,4164.660156,4179.040039,4128.589844,4179.040039,4452460000
05/05/2021,4167.589844,4187.720215,4160.939941,4177.060059,4230920000
06/05/2021,4201.620117,4202.700195,4147.330078,4169.140137,4511000000
07/05/2021,4232.600098,4238.040039,4201.640137,4210.339844,4016080000
10/05/2021,4188.430176,4236.390137,4188.129883,4228.290039,4560700000
11/05/2021,4152.100098,4162.040039,4111.529785,4150.339844,4870710000
12/05/2021,4063.040039,4134.72998,4056.879883,4130.549805,4733070000
13/05/2021,4112.5,4131.580078,4074.98999,4074.98999,4779540000
14/05/2021,4173.850098,4183.129883,4129.580078,4129.580078,4008880000
17/05/2021,4163.290039,4171.919922,4142.689941,4169.919922,4125050000
18/05/2021,4127.830078,4169.149902,4125.990234,4165.939941,4398150000
19/05/2021,4115.680176,4116.930176,4061.409912,4098.450195,4247450000
20/05/2021,4159.120117,4172.799805,4121.970215,4121.970215,3978880000
21/05/2021,4155.859863,4188.720215,4151.720215,4168.609863,3995250000
24/05/2021,4197.049805,4209.52002,4170.160156,4170.160156,3684800000
25/05/2021,4188.129883,4213.419922,4182.52002,4205.939941,4182250000
26/05/2021,4195.990234,4202.609863,4184.109863,4191.589844,4420890000
27/05/2021,4200.879883,4213.379883,4197.779785,4201.939941,6406310000
28/05/2021,4204.109863,4218.359863,4203.569824,4210.77002,4649250000
